,Smiles,Name,Predicted
0,Nn1c(SCC(=O)Nc2cc(Cl)ccc2Cl)nnc1c3ccccc3,STOCK4S-00001,0
1,CCC[C@H](C)n1nc(O)c2[C@@H](SCC(=O)Nc12)c3ccc(OCC=C)cc3,STOCK4S-00003,0
3,Nc1c(C(=O)NCC=C)c2nc3ccccc3nc2n1\N=C\c4occc4,STOCK4S-00008,0
10,Nc1c(C(=O)NCCCc2ccccc2)c3nc4ccccc4nc3n1\N=C\c5cccnc5,STOCK4S-00019,0
11,Fc1ccc(cc1)c2nc3S\C(=C\4/C(=O)N(CC=C)c5ccc(Br)cc45)\C(=O)n3n2,STOCK4S-00021,0
13,Cc1ccccc1CSc2oc(CCNC(=O)OC(C)(C)C)nn2,STOCK4S-00024,0
14,CCn1c2ccccc2c3cc(NC(=O)CSc4nnc(c5ccncc5)n4N)ccc13,STOCK4S-00025,0
17,Cc1nnc(S\C(=C\c2oc(cc2)c3ccc(Br)cc3)\C(=O)O)[nH]1,STOCK4S-00034,0
21,CN1C(=O)N(C)c2nc(N3CCCC3)n(CCSc4oc5ccccc5n4)c2C1=O,STOCK4S-00043,0
22,CN1C(=O)N(C)C2=C(C1=O)[C@@](NC(=O)c3ccc(Cl)cc3)(C(=O)N2)C(F)(F)F,STOCK4S-00047,0
28,CCn1c(SCC(=O)Nc2cc(Cl)cc(Cl)c2)nnc1c3cnccn3,STOCK4S-00056,0
30,Cc1ccc(NC(=O)CSc2nnc(c3ccncc3)n2CC=C)c(Br)c1,STOCK4S-00063,0
35,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)N\N=C\c1ccc2ncccc2c1,STOCK4S-00070,0
39,CN1C(=O)N(C)c2nc(CN3CCCCC3)n(CCc4ccccc4)c2C1=O,STOCK4S-00078,0
40,CC(C)CCNC(=O)c1c(N)n(\N=C\c2ccccc2)c3nc4ccccc4nc13,STOCK4S-00082,0
41,CC1=C(C#N)[C@@](Nc2cc(C)ccn2)(C(=O)N1)C(F)(F)F,STOCK4S-00084,0
49,COc1ccc(NC(=O)C)cc1NC(=O)CSc2nnc(c3ccccc3F)n2N,STOCK4S-00097,0
52,CCN1CCN(CC1)c2nc(N)c(c(Nc3cccc(Cl)c3)n2)[N+](=O)[O-],STOCK4S-00102,0
53,Cn1c(SCC(=O)N\N=C\c2ccc(F)cc2)nnc1c3cccc(Cl)c3,STOCK4S-00104,0
55,COc1ccc(cc1OC)c2nnc(SCC(=O)Nc3ccc(Cl)c(Cl)c3)n2N,STOCK4S-00107,0
56,CC(C)(C)OC(=O)NCCc1oc(SCc2ccccc2)nn1,STOCK4S-00108,0
57,COC(=O)c1ccc(CSc2nnc(c3sc(N)nc3C)n2CC=C)cc1,STOCK4S-00109,0
62,CCOCCCNc1nc2N(C)C(=O)NC(=O)c2n1CCCc3ccccc3,STOCK4S-00124,0
64,COC(=O)c1[nH]c2cc(OC)ccc2c1NC(=O)c3c(F)cccc3F,STOCK4S-00127,0
65,CC(C)(C)c1ccccc1NC(=O)CSc2nnc(c3occc3)n2CC=C,STOCK4S-00129,0
72,Cc1nnc(S\C(=C/c2ccc(OCc3ccccc3)c(Br)c2)\C(=O)O)[nH]1,STOCK4S-00139,0
78,CCOC(=O)c1[nH]c(C)c(C(=O)C2=C(O)C(=O)N(CCCN3CCOCC3)C2c4ccncc4)c1C,STOCK4S-00147,0
79,C[C@H](NC(=O)OC(C)(C)C)c1oc(SCC(=O)Nc2cccc(Cl)c2)nn1,STOCK4S-00149,0
80,CC1(C)C2(C)CCC1(CC2=O)C(=O)Nc3ccc(I)cn3,STOCK4S-00151,0
81,CCn1c(SCC(=O)Nc2cc(Cl)ccc2Cl)nnc1c3cccs3,STOCK4S-00152,0
86,CCCCCOc1ccc(cc1)C2SCC(=O)Nc3c2c(O)nn3C(CC)CC,STOCK4S-00161,0
93,CN1C(=O)N(C)c2nc(N\N=C(/C)\c3ccccc3O)n(Cc4ccc(Cl)cc4)c2C1=O,STOCK4S-00174,0
96,Cc1cccc(C)c1NC(=O)CSc2nnc(c3occc3)n2Cc4occc4,STOCK4S-00178,0
97,CCOC(=O)c1sc2nc3CC(C)(CC)OCc3cc2c1N,STOCK4S-00183,0
99,O=Cc1cn(CC(=O)Nc2ccccc2)c3ccccc13,STOCK4S-00195,0
100,NC(=O)C1(CCN(Cc2nc(O)c3ccccc3n2)CC1)N4CCCCC4,STOCK4S-00198,0
101,Cc1ccccc1C2CC(Nc3ncnn23)c4ccccc4,STOCK4S-00199,0
102,CC(=O)CSc1nc2ccc(NC(=O)c3cccc(C)c3)cc2s1,STOCK4S-00201,0
103,Cc1ccc(cc1)N2C(=O)NC(=O)C3=C2NC(=O)C3(NC(=O)C(C)(C)C)C(F)(F)F,STOCK4S-00202,0
105,CCCCN1C(=O)NC(=O)\C(=C(\C)/Nc2ccc(NC(=O)C)cc2)\C1=O,STOCK4S-00209,0
106,Oc1ccccc1CNc2nc3ccccc3n2CCN4CCCCC4,STOCK4S-00210,0
108,CCOc1cccc(c1)c2nnc(SCC(=O)Nc3ccc(NC(=O)C)cc3)n2N,STOCK4S-00212,0
111,Cc1nn(C2CCOC(C)(C)C2)c3NC(=O)CSC(c4ccc5OCOc5c4)c13,STOCK4S-00215,0
118,Cc1ccc(NC(=O)CSc2nnc(c3occc3)n2N)cc1F,STOCK4S-00231,0
119,Cc1ccc(cc1)n2c(S)nnc2[C@@H]3C[C@H]3c4ccccc4,STOCK4S-00234,0
128,O=C(C1CCCCC1)N2CCN(CC2)c3nnc(c4ccccc4)c5ccccc35,STOCK4S-00258,0
134,COC(=O)c1ccccc1NC(=O)CSc2nccc(C)n2,STOCK4S-00275,0
136,COC(=O)c1ccc(\C=N\n2c(N)c(C(=O)NC3CCCC3)c4nc5ccccc5nc24)cc1,STOCK4S-00277,0
140,Cc1cccc(N2C(=S)NC(=O)\C(=C\c3cccn3c4ccc(O)cc4)\C2=O)c1C,STOCK4S-00287,0
142,NN1C(=O)c2ccccc2n3c(SCCc4ccccc4)nnc13,STOCK4S-00290,0
146,CCN(CC)c1ccc(cc1)n2c(C)cc(\C=C\3/NC(=O)NC3=O)c2C,STOCK4S-00306,0
149,CC(C)C[C@H](NC(=O)OC(C)(C)C)c1oc(SCc2ccc(Cl)cc2)nn1,STOCK4S-00310,0
152,CCn1c(SCC(=O)Nc2cc(NC(=O)C)ccc2OC)nnc1c3occc3,STOCK4S-00323,0
154,Cc1cc(C=C2C(=O)NC(=O)NC2=O)c(C)n1c3ccc4OCOc4c3,STOCK4S-00327,0
155,CN1C(=O)N(Cc2cccc(Br)c2)C(=O)c3c1nc(N4CCC(CC4)C(=O)N)n3C,STOCK4S-00328,0
156,Nc1c(C(=O)Nc2ccc(Cl)cc2)c3nc4ccccc4nc3n1\N=C\c5cccnc5,STOCK4S-00330,0
157,CCCCNc1nc(nc2ccccc12)c3ccccc3O,STOCK4S-00331,0
160,CCn1c(NCc2ccc(cc2)N(C)C)nc3ccccc13,STOCK4S-00335,0
164,COc1ccc(C)cc1NC(=O)CSc2nnc(c3ccncc3)n2CC=C,STOCK4S-00344,0
165,CN(C)c1ccc(\C=N\n2c(N)c(C(=O)NCC=C)c3nc4ccccc4nc23)cc1,STOCK4S-00345,0
170,CC1(C)Cc2c(CO1)sc3nc(N)n4c(SCC(=O)Nc5ccc(Cl)cc5)nnc4c23,STOCK4S-00356,0
171,Cc1ccc(cc1)c2nc(N)c(C#N)c(c2C)c3occc3,STOCK4S-00361,0
172,CC(C)[C@H](NC(=O)OC(C)(C)C)c1oc(SCc2cccc(F)c2)nn1,STOCK4S-00365,0
174,CC(C)OCCCNC(=O)c1c(N)n(\N=C\c2ccc(F)cc2)c3nc4ccccc4nc13,STOCK4S-00369,0
176,COc1ccc(cc1OC)c2cn3c4C(=O)N(C)C(=O)N(C)c4nc3n2c5ccccc5,STOCK4S-00374,0
182,COc1cc(NC(=O)CSc2nnc(c3ccccn3)n2C)cc(OC)c1,STOCK4S-00395,0
183,COc1ccc2c(c1)[nH]c3c(ncnc23)N4CCCC4,STOCK4S-00399,0
185,CCC1(C)Cc2c(CO1)c(nc3sc4c(NCCCN(C)C)ncnc4c23)N5CCOCC5,STOCK4S-00402,0
186,COC(=O)c1ccc(NC(=O)CSc2nnc(c3ccc(cc3)C(C)(C)C)n2N)cc1,STOCK4S-00403,0
187,Cc1cc(\C=C/2\C(=O)NC(=O)N(C2=O)C(C)(C)C)c(C)n1c3ccc(F)cc3,STOCK4S-00406,0
192,CN1C(=O)N(C)c2nc(N\N=C(/C)\c3ccccc3)n(Cc4ccc(F)cc4)c2C1=O,STOCK4S-00416,0
193,CN(C)CN1C(=O)\C(=N/NC(=O)c2ccccn2)\c3ccccc13,STOCK4S-00417,0
194,COc1cc2c(oc3ccccc23)cc1NC(=O)CSc4nnc(c5cccnc5)n4CC=C,STOCK4S-00418,0
196,CCCNc1nc(ncc1C(=O)OCC)n2nc(C)cc2C,STOCK4S-00422,0
197,COc1ccccc1Nc2nc(nc(N)c2[N+](=O)[O-])N3CCN(C)CC3,STOCK4S-00423,0
200,CC1(C)Cc2nc3sc(C(=O)NCCCO)c(N)c3cc2CS1,STOCK4S-00435,0
201,Nc1nc(NCC=C)nc(Nc2cccc(F)c2)c1[N+](=O)[O-],STOCK4S-00437,0
202,Cc1cc(\C=C/2\C(=O)NC(=O)N(C2=O)c3ccccc3F)c(C)n1c4ccc(F)cc4,STOCK4S-00438,0
203,Cc1ccc(CNc2nc(N)c(c(NCCO)n2)[N+](=O)[O-])cc1,STOCK4S-00439,0
204,COc1cc(NC(=O)CSc2nnc(c3cccnc3)n2CC=C)cc(OC)c1,STOCK4S-00440,0
215,Nc1nc(nc(NC2CCCCC2)c1[N+](=O)[O-])N3CCCCC3,STOCK4S-00457,0
217,Cn1c(SCC(=O)N\N=C\c2ccccn2)nnc1c3cccc(Cl)c3,STOCK4S-00462,0
220,CC(C)[C@H](NC(=O)OC(C)(C)C)c1oc(SCc2cc(C)ccc2C)nn1,STOCK4S-00469,0
221,CCOCCCNC(=O)c1c(N)n(c2ccccc2F)c3nc4ccccc4nc13,STOCK4S-00470,0
222,COc1ccc(cc1)C2CC(Nc3nc(N)nn23)c4ccc(C)cc4,STOCK4S-00471,0
223,Cc1cccc(c1)c2nnc(SCC(=O)Nc3ccc(C)cc3Br)n2N,STOCK4S-00472,0
225,COc1ccc(NC(=O)C(C)Sc2nc(nc3CC(C)(C)OCc23)c4ccc(OC)cc4)cc1,STOCK4S-00474,0
228,Cc1c(oc2CCC\C(=N\Nc3ccccc3)\c12)C(=O)O,STOCK4S-00486,0
229,CCN(CC)CCN1C(C(=C(O)C1=O)C(=O)c2c(C)[nH]c(C(=O)OC)c2C)c3cccnc3,STOCK4S-00487,0
239,COc1ccccc1NC(=O)CSc2nnc(C3CCCCC3)n2N,STOCK4S-00509,0
240,COc1ccc(NC(=O)C)cc1NC(=O)CSc2nnc(c3ccccc3)n2N,STOCK4S-00510,0
242,Cc1cccc2c3nc4ccccc4nc3n(CCBr)c12,STOCK4S-00513,0
243,COc1ccc(NC(=O)CSc2nnc(c3ccccc3F)n2N)cc1,STOCK4S-00515,0
244,CCN1C(=O)\C(=C\2/Sc3nc(nn3C2=O)c4cc(OC)c(OC)c(OC)c4)\c5ccccc15,STOCK4S-00516,0
247,Nn1c(SCC(=O)Nc2ccc(Cl)c(c2)C(F)(F)F)nnc1c3ccccc3,STOCK4S-00519,0
248,CCn1c(SCC(=O)Nc2ccc(Br)cc2)nnc1c3occc3,STOCK4S-00521,0
249,CN(C)CCNc1nc2N(C)C(=O)NC(=O)c2n1CCOc3ccccc3,STOCK4S-00522,0
252,COC(=O)c1c(N)n(c2ccc(cc2)C(=O)O)c3nc4ccccc4nc13,STOCK4S-00532,0
253,COc1ccccc1NC(=O)CSc2nnc(c3ccccc3Cl)n2N,STOCK4S-00534,0
260,Cc1oc(\C=N\NC(=O)CSc2nnc(c3cccc(Cl)c3)n2C)cc1,STOCK4S-00547,0
262,CC(C)c1ccccc1NC(=O)CSc2nnc(c3ccncc3)n2CC=C,STOCK4S-00552,0
263,CCCCc1ccc(NC(=O)CSc2nnc(c3occc3)n2CC)cc1,STOCK4S-00557,0
269,CC\C(=C/1\C(=O)NC(=O)N(C1=O)c2ccccc2C)\NCCCN3CCOCC3,STOCK4S-00573,0
270,C1CCC(C1)Nc2nc(nc3ccccc23)c4ccccn4,STOCK4S-00574,0
282,CCn1c(SCc2nc3ccccc3[nH]2)nnc1c4cccnc4,STOCK4S-00608,0
288,CC(C)CCNc1nc2N(C)C(=O)N(Cc3cccc(F)c3)C(=O)c2n1C,STOCK4S-00617,0
289,CCn1nc(NC(=O)C(C)C)c2cc3cc(C)ccc3nc12,STOCK4S-00619,0
300,CCOC(=O)C(C)N1C(=O)S\C(=C/c2c[nH]c3ccc(Br)cc23)\C1=O,STOCK4S-00645,0
302,CCCCN1C(=O)NC(=O)\C(=C/c2cn(CCC)c3ccccc23)\C1=O,STOCK4S-00648,0
305,COc1ccc(cc1)C2N(C(=O)C(=C2C(=O)c3ccc(OC)cc3)O)c4nc(C)c(C)s4,STOCK4S-00653,0
307,COCCCNc1nc2ccccc2nc1NS(=O)(=O)c3ccc(Cl)cc3,STOCK4S-00658,0
308,CCOc1ccc(NC(=O)CSc2nc(N)c3c4CC(C)(C)OCc4sc3n2)cc1,STOCK4S-00661,0
311,COC(=O)c1[nH]c2cc(OC)ccc2c1NC(=O)CN3CCN(C(C)C3)c4cccc(C)c4,STOCK4S-00666,0
318,CCOCCCNC(=O)c1c(N)n(Cc2occc2)c3nc4ccccc4nc13,STOCK4S-00679,0
319,COc1cc(cc(OC)c1OC)C(=O)NC(=S)Nc2ccc(Br)cn2,STOCK4S-00682,0
321,CCN1C(=O)c2c(C)c(C)sc2N=C1SCC(=O)Nc3ccc(cc3)C(=O)OC,STOCK4S-00685,0
